"TempC","Grams of sucrose in 100 grams of solution, or per cent",Grams of sucrose dissolved by 100 grams of water,Specific gravity of solution
0,64.18,179.2,1.31490
5,64.87,184.7,1.31920
10,65.58,190.5,1.32353
15,66.30,197.0,1.32804
20,67.09,203.9,1.33272
25,67.89,211.4,1.33768
30,68.70,219.5,1.34273
35,69.55,228.4,1.34805
40,70.42,238.1,1.35353
45,71.32,248.7,1.35923
50,72.25,260.4,1.36515
55,73.20,273.1,1.37124
60,74.18,287.3,1.37755
65,75.18,302.9,1.38404
70,76.22,320.5,1.39083
75,77.27,339.9,1.39772
80,78.36,362.1,1.40493
85,79.46,386.8,1.41225
90,80.61,415.7,1.41996
95,81.77,448.6,1.42778
100,82.87,487.2,1.43594
